07-09 14:58:34.929 11040 11070 D OneSignal: OneSignal SDK initialization already completed.
07-09 14:58:35.217 11040 11070 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.q
07-09 14:58:35.218 11040 11069 I zygote  : Deoptimizing void com.facebook.react.uimanager.x0.e(java.util.Map, java.util.Map) due to JIT inline cache
07-09 14:58:35.338 11040 11040 I ReactNative: [GESTURE HANDLER] Initialize gesture handler for root view com.facebook.react.y{586356c V.E...... ......ID 0,0-1080,1731 #1}07-09 14:58:35.339 11040 11040 I ReactNative: [GESTURE HANDLER] Gesture handler is already enabled for a parent view
07-09 14:58:35.502 11040 11040 D AndroidRuntime: Shutting down VM
07-09 14:58:35.520 11040 11040 E AndroidRuntime: FATAL EXCEPTION: main
07-09 14:58:35.520 11040 11040 E AndroidRuntime: Process: com.menneapp, PID: 11040
07-09 14:58:35.520 11040 11040 E AndroidRuntime: java.lang.IllegalStateException: java.lang.NoSuchFieldException: fill
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.horcrux.svg.b0.X(Unknown Source:93)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.horcrux.svg.l.e0(Unknown Source:52)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.horcrux.svg.l.H(Unknown Source:6)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.horcrux.svg.b0.Q(Unknown Source:265)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.horcrux.svg.f0.J(Unknown Source:158)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.horcrux.svg.f0.K(Unknown Source:71)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.horcrux.svg.f0.onDraw(Unknown Source:16)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:19192)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18142)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:19195)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18142)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:19195)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18142)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.drawChild(Unknown Source:23)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at com.facebook.react.views.view.g.dispatchDraw(Unknown Source:3)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.520 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
